Air Pollutant (English) / Polluant atmosphérique (anglais),Air Pollutant (French) / Polluant atmosphérique (français),Economic Sector (English) / Secteur économique (anglais),Economic Sector (French) / Secteur économique (français),Units (English) / Unité (anglais),Units (French) / Unité (français),2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Mercury,Mercure,Heavy Industry,Industrie lourde,Kilograms,Kilogrammes,3243,2778,2837,2479,2117,1932,1452,1491,1662,1551,1493,1538,1356,1470,1272,1045,1164,1280,1319,1343,1367,1400,1429,1452,1474,1493
Mercury,Mercure,Buildings,Bâtiments,Kilograms,Kilogrammes,718,703,736,728,522,489,424,398,372,358,329,307,313,314,310,298,296,294,293,292,291,290,290,291,291,292
Mercury,Mercure,Agriculture,Agriculture,Kilograms,Kilogrammes,10,10,12,14,16,17,19,19,18,18,16,16,15,14,12,12,11,11,11,11,11,11,11,11,11,11
Mercury,Mercure,Waste and Others,Déchets et autres sources,Kilograms,Kilogrammes,1647,1578,1821,1980,903,832,770,617,571,607,544,546,544,541,538,542,550,560,568,575,582,590,597,604,611,618
Mercury,Mercure,Total,Total,Kilograms,Kilogrammes,8037,7331,7887,7130,5523,5139,3940,3641,3716,3453,3286,3241,3012,3111,2842,2313,2414,2476,2518,2518,2551,2592,2609,2633,2660,2644
Ammonia,Ammoniac,Oil and Gas,Pétrole et gaz,Kilotonnes,Kilotonnes,2,3,2,2,1,2,2,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Ammonia,Ammoniac,Electricity,Électricité,Kilotonnes,Kilotonnes,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Ammonia,Ammoniac,Transportation,Transports,Kilotonnes,Kilotonnes,11,10,10,9,9,9,9,8,8,8,7,8,8,8,8,7,7,7,7,8,7,7,7,7,7,7
Ammonia,Ammoniac,Heavy Industry,Industrie lourde,Kilotonnes,Kilotonnes,14,15,15,14,13,12,12,12,11,11,11,12,11,12,11,11,11,12,12,12,12,13,13,13,13,13
Ammonia,Ammoniac,Buildings,Bâtiments,Kilotonnes,Kilotonnes,7,6,6,7,6,6,7,6,7,7,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Ammonia,Ammoniac,Agriculture,Agriculture,Kilotonnes,Kilotonnes,458,450,454,446,433,426,424,441,454,445,449,449,439,453,450,466,448,472,481,487,496,506,517,529,543,557
Ammonia,Ammoniac,Waste and Others,Déchets et autres sources,Kilotonnes,Kilotonnes,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Ammonia,Ammoniac,Total,Total,Kilotonnes,Kilotonnes,500,488,493,482,467,460,458,473,487,478,480,482,471,486,483,497,480,504,514,521,530,540,551,563,577,591
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Emissions presented in this table include sources excluded from Canada’s totals in the APEI and BC inventory (i.e. emissions from domestic and international air transportation at cruise speed, and international marine emissions).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total mercury emissions for year 2019 differ from the emissions reported in the 2021 APEI due to a manual correction in the Waste and Others sector. This correction is reflected in the 2022 APEI.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Due to the complex historical emission allocation process between Canada's Air Pollutant Emissions Inventory (APEI) and the Black Carbon Emissions Inventory and the E3MC model,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
historical sectoral totals and pollutant totals reported in this table may differ from the emissions reported in the APEI and Black Carbon Emissions Inventory.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For Canada’s official historical air pollutant emissions, please refer to the APEI (https://www.canada.ca/en/environment-climate-change/services/pollutants/air-emissions-inventory-overview.html) and Black Carbon Emissions Inventory (https://www.canada.ca/en/environment-climate-change/services/pollutants/black-carbon-emissions-inventory.html).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more details about the E3MC model, please consult the Emissions Projections Report (https://www.canada.ca/en/environment-climate-change/services/climate-change/greenhouse-gas-emissions/projections.html).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nota:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Les émissions présentées dans ce tableau comprennent des sources exclues des totaux du Canada dans l'IEPA 2021 et dans l'Inventaire des émissions de carbone noir (c'est-à-dire les émissions du transport aérien national et international à vitesse de croisière et les émissions marines internationales).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Les émissions totales de mercure pour l'année 2019 diffèrent des émissions déclarées dans l'IEPA 2021 en raison d'une correction manuelle dans le secteur Déchets et autres. Cette correction se reflète dans l'IEPA 2022.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"En raison du processus complexe d'attribution des émissions historiques entre l'Inventaire canadien des émissions de polluants atmosphériques (IEPA) et l'inventaire des émissions de carbone noir et le modèle E3MC,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
les totaux sectoriels et les totaux de polluants historiques dans ce tableau peuvent différer des émissions déclarées dans l'IEPA et l'inventaire des émissions de carbone noir.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pour les émissions historiques officielles de polluants atmosphériques du Canada, veuillez consulter l'IEPA (https://www.canada.ca/en/environment-climate-change/services/pollutants/black-carbon-emissions-inventory.html) et l'inventaire des émissions de carbone noir(https://www.canada.ca/fr/environnement-changement-climatique/services/polluants/inventaire-emissions-carbone-noir.html).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pour plus de détails sur le modèle E3MC, veuillez consulter le Rapport sur les projections d'émissions (https://www.canada.ca/fr/environnement-changement-climatique/services/changements-climatiques/emissions-gaz-effet-serre/projections.html).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
